Álbum,Prata,Ouro,Platina,Diamante,Soma_peso
High Voltage,0,2,9,0,51
Dirty Deeds Done Dirt Cheap,0,2,12,0,66
Let There Be Rock,0,2,7,0,41
Powerage,0,3,4,0,29
Highway to Hell,0,1,17,0,88
Back in Black,0,0,19,3,116
For Those About to Rock We Salute You,0,2,11,0,61
Flick of the Switch,0,2,4,0,26
Fly on the Wall,1,1,4,0,25
Blow Up Your Video,0,1,5,0,28
The Razors Edge,0,2,18,0,96
Ballbreaker,0,3,6,0,39
Stiff Upper Lip,0,4,6,0,42
Black Ice,0,0,24,0,120
Rock or Bust,0,3,8,0,49
Power Up,0,2,1,0,11
If You Want Blood You've Got It,0,3,5,0,34
Live,0,3,15,0,84
Live at River Plate,0,5,0,0,15
Who Made Who,0,2,11,0,61
